Time [s],CAN H,CAN L
213.657137382,2.477,2.471
213.657137402,2.477,2.471
213.657137422,2.482,2.471
213.657137442,2.477,2.466
213.657137462,2.477,2.466
213.657137482,2.477,2.466
213.657137502,2.477,2.471
213.657137522,2.482,2.471
213.657137542,2.482,2.471
213.657137562,2.482,2.471
213.657137582,2.482,2.466
213.657137602,2.482,2.471
213.657137622,2.482,2.471
213.657137642,2.482,2.471
213.657137662,2.482,2.471
213.657137682,2.482,2.471
213.657137702,2.477,2.471
213.657137722,2.477,2.471
213.657137742,2.477,2.471
213.657137762,2.477,2.471
213.657137782,2.482,2.471
213.657137802,2.487,2.466
213.657137822,2.503,2.45
213.657137842,2.539,2.414
213.657137862,2.595,2.358
213.657137882,2.677,2.27
213.657137902,2.77,2.172
213.657137922,2.862,2.074
213.657137942,2.939,1.996
213.657137962,3.001,1.934
213.657137982,3.058,1.883
213.657138002,3.109,1.831
213.657138022,3.155,1.785
213.657138042,3.191,1.749
213.657138062,3.222,1.723
213.657138082,3.243,1.707
213.657138102,3.258,1.697
213.657138122,3.274,1.687
213.657138142,3.279,1.687
213.657138162,3.279,1.682
213.657138182,3.279,1.682
213.657138202,3.284,1.682
213.657138222,3.284,1.682
213.657138242,3.289,1.676
213.657138262,3.289,1.671
213.657138282,3.294,1.666
213.657138302,3.299,1.661
213.657138322,3.31,1.651
213.657138342,3.32,1.64
213.657138362,3.33,1.63
213.657138382,3.335,1.62
213.657138402,3.346,1.609
213.657138422,3.351,1.604
213.657138442,3.361,1.594
213.657138462,3.366,1.584
213.657138482,3.376,1.573
213.657138502,3.382,1.568
213.657138522,3.392,1.563
213.657138542,3.397,1.558
213.657138562,3.397,1.553
213.657138582,3.402,1.553
213.657138602,3.402,1.547
213.657138622,3.402,1.542
213.657138642,3.407,1.542
213.657138662,3.412,1.542
213.657138682,3.412,1.542
213.657138702,3.412,1.542
213.657138722,3.412,1.542
213.657138742,3.407,1.542
213.657138762,3.407,1.542
213.657138782,3.407,1.542
213.657138802,3.407,1.542
213.657138822,3.407,1.542
213.657138842,3.407,1.542
213.657138862,3.407,1.542
213.657138882,3.407,1.542
213.657138902,3.407,1.542
213.657138922,3.402,1.542
213.657138942,3.402,1.542
213.657138962,3.402,1.542
213.657138982,3.402,1.542
213.657139002,3.402,1.542
213.657139022,3.402,1.547
213.657139042,3.402,1.547
213.657139062,3.402,1.547
213.657139082,3.402,1.547
213.657139102,3.402,1.547
213.657139122,3.402,1.547
213.657139142,3.402,1.547
213.657139162,3.402,1.547
213.657139182,3.402,1.542
213.657139202,3.397,1.542
213.657139222,3.397,1.542
213.657139242,3.397,1.542
213.657139262,3.397,1.542
213.657139282,3.397,1.542
213.657139302,3.397,1.542
213.657139322,3.397,1.542
213.657139342,3.397,1.542
213.657139362,3.402,1.542
213.657139382,3.402,1.547
213.657139402,3.402,1.547
213.657139422,3.402,1.547
213.657139442,3.402,1.547
213.657139462,3.402,1.547
213.657139482,3.402,1.542
213.657139502,3.402,1.542
213.657139522,3.402,1.542
213.657139542,3.397,1.537
213.657139562,3.397,1.537
213.657139582,3.397,1.542
213.657139602,3.397,1.542
213.657139622,3.392,1.542
213.657139642,3.392,1.537
213.657139662,3.392,1.537
213.657139682,3.392,1.537
213.657139702,3.397,1.542
213.657139722,3.397,1.542
213.657139742,3.397,1.542
213.657139762,3.392,1.542
213.657139782,3.392,1.542
213.657139802,3.392,1.547
213.657139822,3.376,1.563
213.657139842,3.34,1.604
213.657139862,3.263,1.682
213.657139882,3.161,1.785
213.657139902,3.053,1.898
213.657139922,2.97,1.981
213.657139942,2.929,2.027
213.657139962,2.909,2.043
213.657139982,2.888,2.058
213.657140002,2.847,2.1
213.657140022,2.806,2.151
213.657140042,2.775,2.198
213.657140062,2.754,2.218
213.657140082,2.749,2.223
213.657140102,2.744,2.223
213.657140122,2.734,2.223
213.657140142,2.729,2.234
213.657140162,2.724,2.234
213.657140182,2.724,2.239
213.657140202,2.718,2.234
213.657140222,2.708,2.239
213.657140242,2.703,2.249
213.657140262,2.693,2.26
213.657140282,2.688,2.27
213.657140302,2.677,2.28
213.657140322,2.667,2.285
213.657140342,2.657,2.296
213.657140362,2.646,2.311
213.657140382,2.636,2.321
213.657140402,2.621,2.327
213.657140422,2.605,2.337
213.657140442,2.595,2.342
213.657140462,2.585,2.352
213.657140482,2.575,2.363
213.657140502,2.564,2.373
213.657140522,2.554,2.383
213.657140542,2.549,2.389
213.657140562,2.539,2.399
213.657140582,2.533,2.404
213.657140602,2.523,2.409
213.657140622,2.518,2.414
213.657140642,2.518,2.42
213.657140662,2.518,2.425
213.657140682,2.513,2.43
213.657140702,2.508,2.435
213.657140722,2.508,2.44
213.657140742,2.508,2.44
213.657140762,2.508,2.44
213.657140782,2.508,2.445
213.657140802,2.508,2.45
213.657140822,2.508,2.45
213.657140842,2.508,2.45
213.657140862,2.508,2.45
213.657140882,2.503,2.456
213.657140902,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
213.657140922,2.503,2.456
