Time [s],CAN H,CAN L
216.276700522,2.492,2.445
216.276700542,2.492,2.445
216.276700562,2.487,2.45
216.276700582,2.487,2.45
216.276700602,2.487,2.45
216.276700622,2.487,2.45
216.276700642,2.482,2.45
216.276700662,2.482,2.45
216.276700682,2.482,2.45
216.276700702,2.477,2.456
216.276700722,2.477,2.456
216.276700742,2.477,2.461
216.276700762,2.477,2.461
216.276700782,2.472,2.456
216.276700802,2.477,2.461
216.276700822,2.477,2.461
216.276700842,2.472,2.461
216.276700862,2.472,2.461
216.276700882,2.472,2.461
216.276700902,2.477,2.461
216.276700922,2.472,2.461
216.276700942,2.472,2.461
216.276700962,2.472,2.461
216.276700982,2.472,2.461
216.276701002,2.472,2.466
216.276701022,2.472,2.466
216.276701042,2.472,2.466
216.276701062,2.472,2.466
216.276701082,2.472,2.461
216.276701102,2.472,2.461
216.276701122,2.472,2.461
216.276701142,2.477,2.461
216.276701162,2.477,2.461
216.276701182,2.472,2.461
216.276701202,2.472,2.461
216.276701222,2.472,2.461
216.276701242,2.472,2.461
216.276701262,2.472,2.466
216.276701282,2.472,2.466
216.276701302,2.472,2.466
216.276701322,2.472,2.461
216.276701342,2.472,2.461
216.276701362,2.472,2.456
216.276701382,2.482,2.445
216.276701402,2.513,2.42
216.276701422,2.575,2.358
216.276701442,2.667,2.265
216.276701462,2.785,2.146
216.276701482,2.903,2.022
216.276701502,3.006,1.919
216.276701522,3.089,1.836
216.276701542,3.155,1.764
216.276701562,3.217,1.707
216.276701582,3.274,1.651
216.276701602,3.32,1.609
216.276701622,3.351,1.589
216.276701642,3.366,1.573
216.276701662,3.371,1.568
216.276701682,3.376,1.563
216.276701702,3.376,1.563
216.276701722,3.376,1.563
216.276701742,3.382,1.563
216.276701762,3.382,1.563
216.276701782,3.382,1.558
216.276701802,3.387,1.558
216.276701822,3.392,1.553
216.276701842,3.397,1.542
216.276701862,3.402,1.537
216.276701882,3.412,1.522
216.276701902,3.418,1.511
216.276701922,3.428,1.496
216.276701942,3.438,1.486
216.276701962,3.448,1.475
216.276701982,3.459,1.47
216.276702002,3.464,1.46
216.276702022,3.469,1.449
216.276702042,3.474,1.439
216.276702062,3.479,1.429
216.276702082,3.484,1.424
216.276702102,3.489,1.424
216.276702122,3.5,1.429
216.276702142,3.51,1.434
216.276702162,3.515,1.434
216.276702182,3.51,1.429
216.276702202,3.5,1.418
216.276702222,3.489,1.408
216.276702242,3.479,1.398
216.276702262,3.479,1.393
216.276702282,3.479,1.398
216.276702302,3.489,1.408
216.276702322,3.5,1.418
216.276702342,3.51,1.429
216.276702362,3.515,1.434
216.276702382,3.515,1.429
216.276702402,3.51,1.424
216.276702422,3.5,1.413
216.276702442,3.489,1.403
216.276702462,3.489,1.393
216.276702482,3.489,1.393
216.276702502,3.489,1.393
216.276702522,3.495,1.398
216.276702542,3.5,1.403
216.276702562,3.51,1.408
216.276702582,3.515,1.408
216.276702602,3.52,1.408
216.276702622,3.515,1.408
216.276702642,3.515,1.403
216.276702662,3.515,1.398
216.276702682,3.515,1.393
216.276702702,3.515,1.393
216.276702722,3.515,1.388
216.276702742,3.515,1.388
216.276702762,3.515,1.388
216.276702782,3.52,1.388
216.276702802,3.525,1.388
216.276702822,3.525,1.393
216.276702842,3.525,1.393
216.276702862,3.525,1.388
216.276702882,3.531,1.388
216.276702902,3.531,1.388
216.276702922,3.531,1.388
216.276702942,3.531,1.382
216.276702962,3.531,1.382
216.276702982,3.531,1.382
216.276703002,3.536,1.382
216.276703022,3.536,1.382
216.276703042,3.531,1.382
216.276703062,3.531,1.382
216.276703082,3.531,1.382
216.276703102,3.536,1.382
216.276703122,3.536,1.388
216.276703142,3.541,1.388
216.276703162,3.541,1.388
216.276703182,3.541,1.382
216.276703202,3.536,1.382
216.276703222,3.536,1.382
216.276703242,3.536,1.382
216.276703262,3.536,1.382
216.276703282,3.536,1.382
216.276703302,3.536,1.382
216.276703322,3.536,1.382
216.276703342,3.541,1.388
216.276703362,3.536,1.393
216.276703382,3.525,1.403
216.276703402,3.5,1.429
216.276703422,3.443,1.486
216.276703442,3.346,1.578
216.276703462,3.207,1.718
216.276703482,3.047,1.873
216.276703502,2.909,2.022
216.276703522,2.806,2.131
216.276703542,2.754,2.187
216.276703562,2.739,2.203
216.276703582,2.744,2.198
216.276703602,2.76,2.187
216.276703622,2.77,2.167
216.276703642,2.78,2.151
216.276703662,2.78,2.141
216.276703682,2.775,2.146
216.276703702,2.76,2.156
216.276703722,2.744,2.172
216.276703742,2.724,2.192
216.276703762,2.713,2.208
216.276703782,2.708,2.218
216.276703802,2.703,2.223
216.276703822,2.703,2.229
216.276703842,2.698,2.229
216.276703862,2.688,2.234
216.276703882,2.682,2.244
216.276703902,2.672,2.254
216.276703922,2.657,2.27
216.276703942,2.641,2.285
216.276703962,2.626,2.301
216.276703982,2.611,2.316
216.276704002,2.595,2.332
216.276704022,2.585,2.347
216.276704042,2.569,2.358
216.276704062,2.564,2.368
216.276704082,2.554,2.373
216.276704102,2.544,2.378
216.276704122,2.539,2.383
216.276704142,2.533,2.394
216.276704162,2.528,2.404
216.276704182,2.523,2.409
216.276704202,2.518,2.414
216.276704222,2.508,2.42
216.276704242,2.508,2.425
216.276704262,2.508,2.43
216.276704282,2.508,2.43
216.276704302,2.503,2.43
216.276704322,2.497,2.43
216.276704342,2.497,2.43
216.276704362,2.497,2.435
216.276704382,2.497,2.435
216.276704402,2.497,2.435
216.276704422,2.497,2.435
216.276704442,2.497,2.44
216.276704462,2.492,2.44
216.276704482,2.492,2.44
216.276704502,2.492,2.44
