Cluster Label,IDs
1,"['334', '3B4']"
2,"['24F']"
3,"['108', '118', '134', '180', '212', '22F', '278', '2BF', '30B']"
4,"['10C', '10D', '11C', '124', '140', '14B', '14C', '158', '30C', '32F']"
5,"['12C', '221']"
6,"['2CF']"
7,"['304']"
8,"['126', '1D0', '1E0']"
9,"['144', '170', '178', '2F9']"
